case_id,group,pair,property,entry_callable,mode,dimension,scope,cut,observed_scope,lifecycle_status,upper_bound,reason_codes,expected_status,expected_upper_bound,reason_contains,matches_expected,change_from_full
s1-sync,S1,synchronous,exact close is applied on all modeled synchronous exits,java-callable-v1:fixture.lifecyclev11.SourcePairs.s1Sync(I)V,full,close_obligation,all_exits,all_modeled_exits,all_exits,bounded,0,[],bounded,0,,True,False
s1-sync,S1,synchronous,exact close is applied on all modeled synchronous exits,java-callable-v1:fixture.lifecyclev11.SourcePairs.s1Sync(I)V,disable_cross_event_propagation,close_obligation,all_exits,all_modeled_exits,all_exits,bounded,0,[],bounded,0,,True,False
s1-task-wrapped,S1,wrapped_task_handoff,the same exact close rule is applied after a depth-2 task handoff terminates normally,java-callable-v1:fixture.lifecyclev11.SourcePairs.s1TaskWrapped(I)V,full,close_obligation,resource_family,after_task_termination:normal,after_task_termination:normal,bounded,0,[],bounded,0,,True,False
s1-task-wrapped,S1,wrapped_task_handoff,the same exact close rule is applied after a depth-2 task handoff terminates normally,java-callable-v1:fixture.lifecyclev11.SourcePairs.s1TaskWrapped(I)V,disable_cross_event_propagation,close_obligation,resource_family,after_task_termination:normal,after_task_termination:normal,unknown,,"[""cross_event_propagation_disabled""]",unknown,,cross_event_propagation_disabled,True,True
s2-task-only,S2,no_extra_holder,no holder remains after the request and its accepted task have both terminated,java-callable-v1:fixture.lifecyclev11.SourcePairs.s2TaskOnly(I)V,full,held_instances,resource_family,all_tasks_terminated_after_request,all_tasks_terminated_after_request,bounded,0,[],bounded,0,,True,False
s2-task-only,S2,no_extra_holder,no holder remains after the request and its accepted task have both terminated,java-callable-v1:fixture.lifecyclev11.SourcePairs.s2TaskOnly(I)V,disable_cross_event_propagation,held_instances,resource_family,all_tasks_terminated_after_request,all_tasks_terminated_after_request,unknown,,"[""cross_event_propagation_disabled""]",unknown,,cross_event_propagation_disabled,True,True
s2-field-holder,S2,static_field_holder,task termination drops only the task holder and preserves the distinct static field holder,java-callable-v1:fixture.lifecyclev11.SourcePairs.s2FieldHolder(I)V,full,held_instances,resource_family,all_tasks_terminated_after_request,all_tasks_terminated_after_request,bounded,1,[],bounded,1,,True,False
s2-field-holder,S2,static_field_holder,task termination drops only the task holder and preserves the distinct static field holder,java-callable-v1:fixture.lifecyclev11.SourcePairs.s2FieldHolder(I)V,disable_cross_event_propagation,held_instances,resource_family,all_tasks_terminated_after_request,all_tasks_terminated_after_request,unknown,,"[""cross_event_propagation_disabled""]",unknown,,cross_event_propagation_disabled,True,True
s3-all-exits-close,S3,all_exits,a singleton finally close covers normal and exceptional exits,java-callable-v1:fixture.lifecyclev11.SourcePairs.s3AllExitsClose(I)V,full,close_obligation,all_exits,all_modeled_exits,all_exits,bounded,0,[],bounded,0,,True,False
s3-all-exits-close,S3,all_exits,a singleton finally close covers normal and exceptional exits,java-callable-v1:fixture.lifecyclev11.SourcePairs.s3AllExitsClose(I)V,disable_cross_event_propagation,close_obligation,all_exits,all_modeled_exits,all_exits,bounded,0,[],bounded,0,,True,False
s3-missing-exceptional-close,S3,missing_exceptional_exit,a normal-only close cannot discharge the exceptional-exit obligation,java-callable-v1:fixture.lifecyclev11.SourcePairs.s3MissingExceptionalClose(I)V,full,close_obligation,all_exits,all_modeled_exits,all_exits,unknown,,"[""release_missing_exceptional_path""]",unknown,,release_missing_exceptional_path,True,False
